2024-12-22 23:03:03,379 : __main__  : INFO : Start parsing json for city ID for the provided name: London
2024-12-22 23:03:03,396 : __main__  : INFO : Found city ID: 2643743
2024-12-22 23:03:03,397 : WDM  : INFO : ====== WebDriver manager ======
2024-12-22 23:03:06,410 : WDM  : INFO : Get LATEST edgedriver version for Edge 131.0.2903
2024-12-22 23:03:06,413 : urllib3.connectionpool  : DEBUG : Starting new HTTPS connection (1): msedgedriver.azureedge.net:443
2024-12-22 23:03:06,531 : urllib3.connectionpool  : DEBUG : https://msedgedriver.azureedge.net:443 "GET /LATEST_RELEASE_131_WINDOWS HTTP/11" 200 34
2024-12-22 23:03:06,532 : charset_normalizer  : DEBUG : Encoding detection: utf_16 is most likely the one as we detected a BOM or SIG within the beginning of the sequence.
2024-12-22 23:03:06,534 : WDM  : INFO : Get LATEST edgedriver version for Edge 131.0.2903
2024-12-22 23:03:06,535 : urllib3.connectionpool  : DEBUG : Starting new HTTPS connection (1): msedgedriver.azureedge.net:443
2024-12-22 23:03:06,654 : urllib3.connectionpool  : DEBUG : https://msedgedriver.azureedge.net:443 "GET /LATEST_RELEASE_131_WINDOWS HTTP/11" 200 34
2024-12-22 23:03:06,654 : charset_normalizer  : DEBUG : Encoding detection: utf_16 is most likely the one as we detected a BOM or SIG within the beginning of the sequence.
2024-12-22 23:03:06,657 : WDM  : INFO : Driver [C:\Users\Vitali\.wdm\drivers\edgedriver\win64\131.0.2903.112\msedgedriver.exe] found in cache
2024-12-22 23:03:06,657 : selenium.webdriver.common.driver_finder  : DEBUG : Skipping Selenium Manager; path to MicrosoftEdge driver specified in Service class: C:\Users\Vitali\.wdm\drivers\edgedriver\win64\131.0.2903.112\msedgedriver.exe
2024-12-22 23:03:06,664 : selenium.webdriver.common.service  : DEBUG : Started executable: `C:\Users\Vitali\.wdm\drivers\edgedriver\win64\131.0.2903.112\msedgedriver.exe` in a child process with pid: 2972 using 0 to output -3
2024-12-22 23:03:07,176 : selenium.webdriver.remote.remote_connection  : DEBUG : POST http://localhost:60501/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'MicrosoftEdge', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'ms:edgeOptions': {'extensions': [], 'args': ['--headless', '--no-sandbox']}}}}
2024-12-22 23:03:07,177 : urllib3.connectionpool  : DEBUG : Starting new HTTP connection (1): localhost:60501
2024-12-22 23:03:07,708 : urllib3.connectionpool  : DEBUG : http://localhost:60501 "POST /session HTTP/11" 200 0
2024-12-22 23:03:07,708 : selenium.webdriver.remote.remote_connection  : DEBUG : Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"MicrosoftEdge","browserVersion":"131.0.2903.112","fedcm:accounts":true,"ms:edgeOptions":{"debuggerAddress":"localhost:60505"},"msedge":{"msedgedriverVersion":"131.0.2903.112 (16ab910a6e75f1c7d2da060bbe9ac569dfe64f70)","userDataDir":"C:\\Temp\\scoped_dir2972_853649156"},"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"windows","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"aa5ebacfffd3f009807d248b8177cec2"}} | headers=HTTPHeaderDict({'Content-Length': '824', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2024-12-22 23:03:07,708 : selenium.webdriver.remote.remote_connection  : DEBUG : Finished Request
2024-12-22 23:03:07,709 : selenium.webdriver.remote.remote_connection  : DEBUG : POST http://localhost:60501/session/aa5ebacfffd3f009807d248b8177cec2/url {'url': 'https://openweathermap.org/city/2643743'}
2024-12-22 23:03:10,355 : urllib3.connectionpool  : DEBUG : http://localhost:60501 "POST /session/aa5ebacfffd3f009807d248b8177cec2/url HTTP/11" 200 0
2024-12-22 23:03:10,355 : selenium.webdriver.remote.remote_connection  : DEBUG : Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2024-12-22 23:03:10,355 : selenium.webdriver.remote.remote_connection  : DEBUG : Finished Request
2024-12-22 23:03:13,357 : selenium.webdriver.remote.remote_connection  : DEBUG : GET http://localhost:60501/session/aa5ebacfffd3f009807d248b8177cec2/source {}
2024-12-22 23:03:13,371 : urllib3.connectionpool  : DEBUG : http://localhost:60501 "GET /session/aa5ebacfffd3f009807d248b8177cec2/source HTTP/11" 200 0
